,p1,p2,p3,p4
40,0.516666368,0.417303574,0.322962358,0.358756435
41,0.550750768,0.444104911,0.294911851,0.357938031
42,0.525571539,0.485191645,0.308104121,0.339040206
43,0.50426409,0.481454084,0.326958644,0.333505879
44,0.481265357,0.499315814,0.356507974,0.323735934
45,0.522309201,0.536711439,0.357876875,0.290739862
46,0.496462145,0.50305264,0.360329221,0.278991374
47,0.493644531,0.485086755,0.343718868,0.305174823
48,0.491945355,0.483205309,0.345401109,0.31787677
49,0.517740593,0.502991622,0.373728587,0.277022005
50,0.520150615,0.50684998,0.348397501,0.270042045
51,0.5351946,0.526013812,0.402425342,0.255023094
52,0.566527291,0.531253596,0.405415746,0.287660245
53,0.573303228,0.504003796,0.38709589,0.304407373
54,0.600344675,0.525650001,0.383678743,0.316597135
55,0.595996806,0.507899843,0.36987251,0.257280936
56,0.582664231,0.449466026,0.407284747,0.271589073
57,0.538753325,0.438069661,0.421476831,0.259809431
58,0.542473982,0.419697183,0.440081302,0.268303514
59,0.564082304,0.450393207,0.498884326,0.280957594
60,0.53981291,0.437230037,0.512334178,0.29816981
61,0.542198582,0.408523574,0.493255749,0.300398038
62,0.553400411,0.411077926,0.455736393,0.328365954
63,0.532091217,0.406019514,0.43085802,0.296052257
64,0.528556267,0.402954101,0.431770405,0.308549713
65,0.530871421,0.378496771,0.408306448,0.335566259
66,0.570239628,0.420658115,0.436013766,0.323734119
67,0.591449475,0.448762809,0.453792841,0.315556681
68,0.563331053,0.474234796,0.441660247,0.298122992
69,0.563152249,0.437253036,0.404262068,0.291150742
70,0.552683953,0.464935753,0.444846811,0.309207509
71,0.533608205,0.481614969,0.463570435,0.323545862
72,0.535548537,0.474561818,0.465009016,0.26823201
73,0.542768918,0.440801261,0.436372984,0.260372941
74,0.560222004,0.423159054,0.458779651,0.260758683
75,0.539174426,0.448163788,0.455266135,0.257379297
76,0.537408479,0.478471932,0.420217761,0.270596693
77,0.512388297,0.457419685,0.409778881,0.277037121
78,0.489858931,0.466419283,0.372565236,0.270516911
79,0.540816343,0.466375344,0.390463231,0.262603515
80,0.506499763,0.477354251,0.380539765,0.268738173
81,0.509536953,0.486946319,0.37781899,0.278779841
82,0.474041688,0.530653946,0.392303267,0.287459421
83,0.424967503,0.582042098,0.440685571,0.254140851
84,0.397793995,0.603390008,0.426076015,0.254161277
85,0.353896535,0.591340821,0.412731233,0.287499545
86,0.37056204,0.589031784,0.405193684,0.329089706
87,0.392392507,0.580656964,0.415436249,0.298753594
88,0.430938527,0.589667006,0.395801273,0.35786834
89,0.425500089,0.585241124,0.381916612,0.370932323
90,0.429761836,0.586839223,0.388688958,0.37105745
91,0.43208582,0.559902226,0.372095661,0.348228929
92,0.461985946,0.558620764,0.375940415,0.325999614
93,0.474247227,0.550374425,0.381640589,0.332279798
94,0.461705647,0.55027378,0.396206696,0.349684918
95,0.416984428,0.598369056,0.38053924,0.354236965
96,0.407761739,0.609173656,0.428114694,0.407247632
97,0.409341462,0.572817306,0.436490439,0.380856422
98,0.448797335,0.581511113,0.448093405,0.349942531
99,0.42387903,0.567760205,0.482171592,0.400056614
100,0.412420681,0.563890316,0.46141079,0.415091917
101,0.409728183,0.600035433,0.41992287,0.420370004
102,0.470023162,0.598082931,0.421461486,0.407756446
103,0.43789257,0.606396931,0.412157498,0.39986788
104,0.475073433,0.600008534,0.383872268,0.425433133
105,0.459455836,0.621019516,0.369077296,0.416159119
106,0.439265695,0.612005637,0.370186364,0.426891694
107,0.416861628,0.613214029,0.403070205,0.443933115
108,0.370312188,0.630447984,0.4123455,0.404109598
109,0.397578743,0.640961938,0.424317647,0.39028751
110,0.382105981,0.616897372,0.442095075,0.412876683
111,0.384277465,0.604947349,0.431070335,0.374497877
112,0.386075218,0.619040452,0.440914329,0.389385149
113,0.360923619,0.648065033,0.481862535,0.41941802
114,0.32290404,0.673813539,0.49267225,0.440586974
115,0.323455644,0.710523316,0.509836388,0.461677665
116,0.342298796,0.71345274,0.439463659,0.478781129
117,0.334859228,0.720890484,0.417535164,0.445291487
118,0.306028049,0.72441163,0.388471429,0.461420132
119,0.331712501,0.700852841,0.441704145,0.491748934
120,0.32951786,0.706027338,0.427665055,0.475337246
121,0.330261592,0.737341807,0.424883353,0.509069185
122,0.344846278,0.73276884,0.372565975,0.507675589
123,0.301180071,0.732502141,0.417529896,0.517036319
124,0.302511879,0.685332928,0.42173742,0.511184893
125,0.285413018,0.625335705,0.393240926,0.566242911
126,0.292942249,0.66920814,0.39388883,0.552018895
127,0.297873079,0.739663062,0.430413644,0.566008228
128,0.322041132,0.741610207,0.420023625,0.56929572
129,0.300972771,0.702201765,0.449769214,0.563348669
130,0.309394882,0.682168877,0.476905855,0.543372453
131,0.304060393,0.667549921,0.481826843,0.535502227
132,0.312140737,0.694841666,0.47286744,0.542899405
133,0.334362108,0.707468685,0.500552221,0.525972175
134,0.312840567,0.729767243,0.485572466,0.503581213
135,0.312825098,0.743400172,0.466999856,0.5115277
136,0.342196198,0.734901943,0.464677105,0.536755588
137,0.368861684,0.747011609,0.49321831,0.494444841
138,0.406866843,0.697212233,0.476455124,0.495924537
139,0.397205352,0.680972767,0.492237558,0.482705961
140,0.425269322,0.71001807,0.477118095,0.476273355
141,0.44999939,0.707254196,0.53376836,0.506334783
142,0.45857487,0.713900156,0.530369859,0.488537075
143,0.438181608,0.736832649,0.539460609,0.474258385
144,0.387458235,0.724637397,0.55840292,0.452808468
145,0.404254171,0.743825326,0.616412204,0.486213014
146,0.367820523,0.710524321,0.615240174,0.484730978
147,0.362321577,0.70157983,0.581764054,0.430151332
148,0.302379389,0.735653625,0.576437376,0.425785354
149,0.326468766,0.701760343,0.598082344,0.396012467
150,0.3,0.7,0.6,0.4
151,0.3,0.7,0.6,0.4
152,0.3,0.7,0.6,0.4
153,0.3,0.7,0.6,0.4
154,0.3,0.7,0.6,0.4
155,0.3,0.7,0.6,0.4
156,0.3,0.7,0.6,0.4
157,0.3,0.7,0.6,0.4
158,0.3,0.7,0.6,0.4
159,0.3,0.7,0.6,0.4
160,0.3,0.7,0.6,0.4
161,0.3,0.7,0.6,0.4
162,0.3,0.7,0.6,0.4
163,0.3,0.7,0.6,0.4
164,0.3,0.7,0.6,0.4
165,0.3,0.7,0.6,0.4
166,0.3,0.7,0.6,0.4
167,0.3,0.7,0.6,0.4
168,0.3,0.7,0.6,0.4
169,0.3,0.7,0.6,0.4
170,0.3,0.7,0.6,0.4
171,0.3,0.7,0.6,0.4
172,0.3,0.7,0.6,0.4
173,0.3,0.7,0.6,0.4
174,0.3,0.7,0.6,0.4
175,0.3,0.7,0.6,0.4
176,0.3,0.7,0.6,0.4
177,0.3,0.7,0.6,0.4
178,0.3,0.7,0.6,0.4
179,0.3,0.7,0.6,0.4
180,0.3,0.7,0.6,0.4
181,0.3,0.7,0.6,0.4
182,0.3,0.7,0.6,0.4
183,0.3,0.7,0.6,0.4
184,0.3,0.7,0.6,0.4
185,0.3,0.7,0.6,0.4
186,0.3,0.7,0.6,0.4
187,0.3,0.7,0.6,0.4
188,0.3,0.7,0.6,0.4
189,0.3,0.7,0.6,0.4
190,0.3,0.7,0.6,0.4
191,0.3,0.7,0.6,0.4
192,0.3,0.7,0.6,0.4
193,0.3,0.7,0.6,0.4
194,0.3,0.7,0.6,0.4
195,0.3,0.7,0.6,0.4
196,0.3,0.7,0.6,0.4
197,0.3,0.7,0.6,0.4
198,0.3,0.7,0.6,0.4
199,0.3,0.7,0.6,0.4
200,0.3,0.7,0.6,0.4
